game_id,inn_ct,bunt_fl,bat_id,pit_id,runs_scored,away_team_id,home_team_id,away_score_final,home_score_final,win_team_id,loss_team_id,OPS,SH_rate_bat
CLE202208010,11,TRUE,hedga001,melam001,1,ARI,CLE,5,6,ARI,CLE,0.489,0.029585798816568046
CLE202209040,10,FALSE,ramij003,boydm001,0,SEA,CLE,6,3,SEA,CLE,0.869,0
CLE202209172,10,FALSE,millo002,fulmm001,0,MIN,CLE,6,7,MIN,CLE,0.652,0
CLE202209172,11,FALSE,kwans001,jax-g001,0,MIN,CLE,6,7,MIN,CLE,0.773,0.003134796
CLE202209172,12,FALSE,millo002,rodrd001,0,MIN,CLE,6,7,MIN,CLE,0.652,0
CLE202209172,14,FALSE,naylj001,rodrd001,0,MIN,CLE,6,7,MIN,CLE,0.771,0
CLE202209172,15,TRUE,cleme002,rodrd001,1,MIN,CLE,6,7,MIN,CLE,0.485,0.012422360248447204
CLE202209270,10,FALSE,ariag002,guerj004,0,TBA,CLE,6,5,TBA,CLE,0.64,0.017543859649122806
CLE202209280,10,FALSE,gimea001,guerj004,1,TBA,CLE,1,2,TBA,CLE,0.837,0.007181329
COL202104060,11,FALSE,mcmar001,peacm001,0,ARI,COL,10,8,ARI,COL,0.78,0
COL202105150,10,FALSE,diaze005,simsl001,0,CIN,COL,6,5,CIN,COL,0.774,0
COL202106010,10,FALSE,dazay001,martb002,0,TEX,COL,2,3,TEX,COL,0.687,0.018126888
COL202106010,11,FALSE,blacc001,martb002,1,TEX,COL,2,3,TEX,COL,0.762,0
COL202106180,10,FALSE,cronc002,willd004,1,MIL,COL,5,6,MIL,COL,0.905,0
COL202208200,10,FALSE,iglej001,dovac001,1,SFN,COL,3,4,SFN,COL,0.708,0
COL202209230,10,FALSE,toglm001,morea001,1,SDN,COL,3,4,SDN,COL,0.653,0
DET202104060,10,FALSE,candj002,roblh001,1,MIN,DET,3,4,MIN,DET,0.794,0
DET202106270,10,FALSE,schoj001,taylb004,1,HOU,DET,1,2,HOU,DET,0.755,0
DET202109120,11,FALSE,haase001,feyej001,1,TBA,DET,7,8,TBA,DET,0.745,0
DET202109140,10,FALSE,goodn002,cousj001,0,MIL,DET,0,1,MIL,DET,0.651,0
DET202109140,11,FALSE,hilld002,strih001,1,MIL,DET,0,1,MIL,DET,0.701,0
DET202209160,10,TRUE,castw003,hendl001,1,CHA,DET,2,3,CHA,DET,0.651,0.00255102
DET202209170,10,TRUE,kreir001,hendl001,0,CHA,DET,4,3,CHA,DET,0.477,0.023809523809523808
DET202209270,10,TRUE,barnt001,misia001,1,KCA,DET,3,4,KCA,DET,0.554,0.003246753
HOU202105130,10,FALSE,corrc001,kenni001,0,TEX,HOU,3,4,TEX,HOU,0.851,0
HOU202105130,11,TRUE,castj006,martb002,1,TEX,HOU,3,4,TEX,HOU,0.799,0.011173184
HOU202108220,10,FALSE,altuj001,sewap001,0,SEA,HOU,6,3,SEA,HOU,0.839,0.001474926
HOU202108250,10,FALSE,tuckk001,payaj001,1,KCA,HOU,5,6,KCA,HOU,0.916,0
HOU202109070,10,FALSE,corrc001,ramiy002,1,SEA,HOU,4,5,SEA,HOU,0.851,0
HOU202207310,10,FALSE,altuj001,bernb001,1,SEA,HOU,2,3,SEA,HOU,0.92,0
